Area Codes,All Ages
E06000047,522143
E01020634,1573
E01020635,1312
E01020636,1716
E01020654,1811
E01020676,1495
E01020613,1411
E01020614,1386
E01020622,1612
E01020623,1459
E01020627,1516
E01020628,1802
E01020629,1501
E01020655,2045
E01020656,1479
E01020657,1499
E01020661,1992
E01020662,1800
E01020663,1862
E01020674,1561
E01020678,1327
E01020606,1457
E01020615,1726
E01020616,1677
E01020617,2063
E01020626,1583
E01020638,1549
E01020639,1711
E01020653,1556
E01020677,1460
E01020596,1662
E01020597,1435
E01020598,1784
E01020611,1347
E01020612,1596
E01020647,2150
E01020648,2240
E01020649,1586
E01020673,1562
E01020675,1837
E01020624,1529
E01020625,1757
E01020670,1516
E01020671,1313
E01020672,1761
E01020632,1775
E01020640,2471
E01020641,2176
E01020642,1363
E01020643,2112
E01020667,1553
E01020592,1594
E01020593,1246
E01020599,1738
E01020601,1492
E01020602,1809
E01020618,1829
E01020650,2434
E01020651,1733
E01020652,2085
E01020668,1419
E01020669,1490
E01020594,1647
E01020595,1723
E01020600,1504
E01020603,1780
E01020605,1767
E01020630,1439
E01020631,1626
E01020637,1611
E01020644,3158
E01020645,1543
E01020590,1265
E01020591,1444
E01020608,1862
E01020609,1347
E01020610,1482
E01020750,1197
E01020781,1112
E01020786,1573
E01020787,1777
E01033163,2196
E01033202,1170
E01020740,1390
E01020741,1288
E01020742,1698
E01020782,1294
E01020783,1246
E01020784,1595
E01020743,1445
E01020747,1305
E01020748,1327
E01020749,1382
E01020773,1362
E01020775,1783
E01020604,1404
E01020607,1659
E01020619,1568
E01020620,1627
E01020621,2009
E01020633,1651
E01020664,1418
E01020665,1384
E01020666,1435
E01020776,1805
E01033161,1600
E01033198,1612
E01033205,1496
E01033206,1609
E01020709,2837
E01020717,1567
E01020718,1407
E01020719,1256
E01020721,1127
E01020708,1206
E01020710,1720
E01020711,1854
E01020720,1427
E01020646,1524
E01020658,1850
E01020659,1482
E01020660,1658
E01020751,1827
E01020752,1033
E01020754,1333
E01020756,1403
E01020679,1515
E01020680,1717
E01020681,1505
E01020714,1555
E01020716,1709
E01020725,1442
E01020726,1308
E01020727,1170
E01020729,2145
E01020730,1684
E01020731,1427
E01020682,1817
E01020683,1548
E01020690,1307
E01020691,1368
E01020692,1397
E01020693,1457
E01020722,2115
E01020723,1811
E01020724,1724
E01020703,2715
